LoB,Alternative,Structure,RI_Premium_Change,Net_EL_Change,Capital_Change,Accretive_Profit_Change,ROAC_Change,New_ROAC,Verdict
PropCat_XL,A_REDUCE_RI,Raise XL attachment 25% (£10M→£12.5M),-667.0,598.0,29373.91177962796,-17295.186455081566,-0.13895574733108904,-0.12033266070200092,WORSE
PropCat_XL,B_INCREASE_RI,Lower XL attachment 25% (£10M→£7.5M),1932.0,-996.0,-22718.073929918755,-12049.148169935965,-0.14169299109142808,-0.12306990446233997,BETTER
Specialty_Casualty,A_REDUCE_RI,Reduce QS cession 25%→15%,-2600.0,1195.7537862449062,5086.133775432418,460.0692141382665,-0.0645269976410604,-0.061996592463411104,BETTER
Specialty_Casualty,B_INCREASE_RI,Increase QS cession 25%→35%,-1400.0,-1195.8462137550932,2324.255672586929,1983.0945864797245,0.03658034261632097,0.039110747793970266,BETTER
Marine_Hull_Cargo,D_STRIP_RI,Strip XL entirely,-3262.0,1763.7848355003334,4036.582198269971,-1258.8715549315164,-0.1958510427781383,-0.051616928721191925,WORSE
Marine_Hull_Cargo,C_REPLACE_QS,Replace XL with 30% QS,-1912.0,-623.3151644996669,2945.0620542611723,-90.78913765046013,-0.11734262031868668,0.026891493738259702,WORSE
Political_Violence,A_REDUCE_RI,Reduce QS 40%→30% (keep Cat XL),-1146.0,-355.5729653215785,214813.85222573893,-27193.993086829483,-0.12034517044248089,-0.11664988832328428,WORSE
Political_Violence,D_STRIP_RI,Strip all RI (full gross exposure),-3710.0,2569.7270346784217,261559.49447933526,-33164.770157261046,-0.12122728470468741,-0.1175320025854908,WORSE
Energy,A_REDUCE_RI,Raise XL attachment £7M→£15M,-2329.2,894.5999999999995,10528.894798569143,-2295.9513613080076,-0.2192197771432144,-0.1179263785891672,WORSE
Energy,D_STRIP_RI,Strip all RI,-5176.0,2982.0929232658955,8478.723607681934,-1290.6237416674385,-0.18653445081707698,-0.08524105226302976,WORSE
Cyber,C_ADD_CATXL,Add £30M xs £15M Cat XL (keep QS),1200.0,-400.0,-678.1542949583222,-950.3335440995911,-0.3667744879928205,-0.24408425534151776,WORSE
Cyber,D_STRIP_RI,Strip QS (NO SYSTEMIC PROTECTION),-1680.0,1198.159799386186,1894.7772524884213,22.754870820613746,-0.11721885549916249,0.00547137715214022,WORSE (HIGH RISK)
